Start to fetch stock prices history
1528_day: True, MACD 呈上升趨勢
1528_month: True, MACD 呈上升趨勢
1528_60m: False, MACD 趨勢不明
1528_30m: True, MACD 呈上升趨勢
1528_15m: True, MACD 呈上升趨勢
1529_week: True, MACD 呈上升趨勢中回測
1529_day: False, MACD 趨勢不明
1529_month: False, MACD 趨勢不明
1529_60m: False, MACD 趨勢不明
1529_30m: False, MACD 趨勢不明
1529_15m: False, MACD 趨勢不明
1530_week: False, MACD 趨勢不明
1530_day: False, MACD 趨勢不明
1530_month: True, MACD 呈上升趨勢
1530_60m: False, MACD 趨勢不明
1530_30m: False, MACD 趨勢不明
1530_15m: False, MACD 趨勢不明
1531_week: False, MACD 趨勢不明
1531_day: True, MACD 呈上升趨勢
1531_month: True, MACD 呈上升趨勢
1531_60m: True, MACD 呈上升趨勢
1531_30m: True, MACD 呈上升趨勢中回測
1531_15m: True, MACD 呈上升趨勢中回測
1532_week: True, MACD 呈上升趨勢
1532_day: True, MACD 呈上升趨勢
1532_month: False, MACD 趨勢不明
1532_60m: True, MACD 呈上升趨勢
1532_30m: True, MACD 呈上升趨勢中回測
1532_15m: True, MACD 呈上升趨勢
1533_week: False, MACD 趨勢不明
1533_day: True, MACD 呈上升趨勢
1533_month: False, MACD 趨勢不明
1533_60m: True, MACD 呈上升趨勢
1533_30m: True, MACD 呈上升趨勢
1533_15m: True, MACD 呈上升趨勢
1535_week: False, MACD 趨勢不明
1535_day: False, MACD 趨勢不明
1535_month: False, MACD 趨勢不明
1535_60m: True, MACD 呈上升趨勢
1535_30m: False, MACD 趨勢不明
1535_15m: True, MACD 呈上升趨勢
1536_week: False, MACD 趨勢不明
1536_day: True, MACD 呈上升趨勢
1536_month: False, MACD 趨勢不明
1536_60m: True, MACD 呈上升趨勢
1536_30m: False, MACD 趨勢不明
1536_15m: False, MACD 趨勢不明
1537_week: False, MACD 趨勢不明
1537_day: False, MACD 趨勢不明
1537_month: False, MACD 趨勢不明
1537_60m: False, MACD 趨勢不明
1537_30m: True, MACD 呈上升趨勢
1537_15m: True, MACD 呈上升趨勢
1538_week: True, MACD 呈上升趨勢
